"","lambda"
"1",0.5
"2",1
"3",2.5
"4",2
"5",3.5
"6",2
"7",0.5
"8",3
"9",2
"10",2
"11",1
"12",0.5
"13",0.5
"14",0.5
"15",1
"16",1.5
"17",0.5
"18",0.5
"19",0.5
"20",3.5
"21",0.5
"22",2
"23",0.5
"24",5
"25",1.5
"26",0.5
"27",1
"28",1
"29",3.5
"30",0
"31",1.5
"32",1.5
"33",1
"34",0.5
"35",0
"36",0
"37",1
"38",0
"39",3.5
"40",0
"41",1
"42",5
"43",1.5
"44",0.5
"45",4.5
"46",1
"47",1
"48",0.5
"49",0.5
"50",4.5
"51",4
"52",0.5
"53",1.5
"54",1
"55",3
"56",0
"57",2.5
"58",0.5
"59",1
"60",3.5
"61",0
"62",2
"63",2
"64",2
"65",0.5
"66",1
"67",3
"68",1
"69",0
"70",1
"71",2
"72",1.5
"73",0.5
"74",2
"75",0
"76",1
"77",0.5
"78",1
"79",0.5
"80",1
"81",2.5
"82",1.5
"83",2.5
"84",4
"85",1
"86",0.5
"87",0
"88",0.5
"89",0.5
"90",0.5
"91",0.5
"92",1
"93",1
"94",2
"95",3.5
"96",0
"97",0
"98",0.5
"99",0
"100",0.5
