State,Gini Coefficient,Industry1	,Industry2,Industry3,Industry4,Industry5,Industry6,Industry7,Industry8,Industry9,Industry10,Industry11,Industry12,Industry13,Industry14,Industry15,Industry16
Alabama,0.4741,0.008678843,0.0106011,0.028152446,0.038635646,0.172144141,0.060248925,0.06784112,0.029815593,0.021109404,0.16982246,0.1032352,0.083457658,0.031827506,0.025915044,0.040523833,0.107991081
Alaska,0.4376,0.007581306,0.141547824,0.01632941,0.039546198,0.035207707,0.029158425,0.0453206,0.143946777,0.021467552,0.132795876,0.064681379,0.08930909,0.037756595,0.018019057,0.042677523,0.13465468
Arizona,0.4591,0.007760536,0.01466793,0.019391093,0.050696396,0.08462999,0.055077154,0.069866142,0.032750617,0.035754925,0.232899985,0.115332463,0.098452702,0.048301202,0.020255167,0.022185531,0.091978165
Arkansas,0.475,0.014740917,0.008532435,0.027181713,0.039366513,0.150338907,0.078513931,0.06960788,0.042998122,0.017784427,0.162312298,0.110131373,0.096225326,0.035488134,0.024403425,0.020055335,0.102319263
California,0.4866,0.012661296,0.002847532,0.013431498,0.038498678,0.104533184,0.053769073,0.049756894,0.028961077,0.096825264,0.223297744,0.134960461,0.073824008,0.045029416,0.019100528,0.014968101,0.087535247
Colorado,0.4548,0.007661055,0.031142507,0.010897608,0.058920535,0.068408131,0.056578167,0.052700442,0.037589822,0.058919761,0.208605378,0.152907985,0.071742175,0.052016714,0.02309484,0.024275051,0.08453983
Connecticut,0.5024,0.001367866,0.000674795,0.016967941,0.029922606,0.104251668,0.050743909,0.050855321,0.019841796,0.056736584,0.300220328,0.122032526,0.105281785,0.033543656,0.01984285,0.011024118,0.076692251
Delaware,0.4509,0.006542623,8.10799E-05,0.013984971,0.039420514,0.063506469,0.026165262,0.037798917,0.016442215,0.013510262,0.44800295,0.114448173,0.082042376,0.028852667,0.014170671,0.011029479,0.084001371
District of Columbia,0.5115,1.00392E-05,0,0.010285859,0.012017617,0.002185673,0.010389119,0.012256406,0.002853279,0.059641343,0.128571797,0.24914165,0.083636421,0.047929921,0.074979778,0.276496985,0.029604112
Florida,0.4808,0.005890007,0.001356213,0.016938334,0.055252679,0.053745857,0.070622212,0.071197996,0.036090075,0.039883146,0.234430636,0.132116411,0.095315186,0.061494107,0.026747192,0.017913734,0.081006216
Georgia,0.4795,0.005933956,0.002235113,0.018321413,0.043750293,0.099775647,0.076139586,0.05428517,0.041286826,0.075349418,0.221960398,0.128808303,0.076957124,0.034420831,0.018870757,0.024452627,0.077452538
Hawaii,0.4397,0.004548637,0.000911946,0.021654838,0.061335591,0.018415322,0.032945442,0.068666661,0.060897368,0.022053121,0.241476021,0.086901147,0.084653455,0.120609872,0.024909887,0.053460902,0.096559788
Idaho,0.4337,0.050239828,0.0029834,0.016497792,0.065964681,0.109180637,0.065698607,0.076430659,0.029421042,0.02000732,0.184420585,0.104357594,0.091870175,0.041084956,0.020304697,0.024944738,0.09659329
